	Line scan				Control region		
Foci no	Distance	DAPI	MTCOI	SDHA	DAPI	MTCOI	SDHA
1	0	62.4	222.2	351.8	65.915	544.159	125.726
1	0.323	61.4	234.4	341.6	65.915	544.159	125.726
1	0.646	62	262	357.6	65.915	544.159	125.726
1	0.968	60.8	278.6	342.4	65.915	544.159	125.726
1	1.291	62.2	286.2	344.4	65.915	544.159	125.726
1	1.614	61.4	319.6	383.6	65.915	544.159	125.726
1	1.937	60.6	300.6	429	65.915	544.159	125.726
1	2.26	60.4	332	528.8	65.915	544.159	125.726
1	2.583	59.6	384.8	624.6	65.915	544.159	125.726
1	2.905	66	378.8	670	65.915	544.159	125.726
1	3.228	63.8	366	666.6	65.915	544.159	125.726
1	3.551	66.4	291	547.4	65.915	544.159	125.726
1	3.874	69.8	335.6	560.4	65.915	544.159	125.726
1	4.197	72.6	342.6	569.2	65.915	544.159	125.726
1	4.519	73.8	358.6	568.8	65.915	544.159	125.726
1	4.842	86.4	382.2	595.4	65.915	544.159	125.726
1	5.165	93.2	405.4	623.6	65.915	544.159	125.726
1	5.488	109.2	447.8	667.2	65.915	544.159	125.726
1	5.811	128.8	445.8	653	65.915	544.159	125.726
1	6.133	131.2	288.4	491.4	65.915	544.159	125.726
1	6.456	167	232	446.4	65.915	544.159	125.726
1	6.779	214.8	237	461.8	65.915	544.159	125.726
1	7.102	284	259.6	462.6	65.915	544.159	125.726
1	7.425	502.6	257.8	395.6	65.915	544.159	125.726
1	7.748	1007.8	238.6	384	65.915	544.159	125.726
1	8.07	1640	207.8	370.4	65.915	544.159	125.726
1	8.393	2199.8	199.4	331	65.915	544.159	125.726
1	8.716	2559.4	191.8	325.4	65.915	544.159	125.726
1	9.039	2742.6	191.8	319.2	65.915	544.159	125.726
1	9.362	3079	180.2	273.2	65.915	544.159	125.726
1	9.684	3069	185.8	276	65.915	544.159	125.726
1	10.007	2906	208.8	278	65.915	544.159	125.726
1	10.33	3054.2	193	319.2	65.915	544.159	125.726
1	10.653	2855	207.4	317	65.915	544.159	125.726
1	10.976	2568.6	219.4	337.6	65.915	544.159	125.726
1	11.298	2363.2	227.4	369.2	65.915	544.159	125.726
1	11.621	2266.8	247.8	387.8	65.915	544.159	125.726
1	11.944	2304.4	285.6	401.8	65.915	544.159	125.726
1	12.267	2198	331.2	397.8	65.915	544.159	125.726
1	12.59	2088.8	360.6	365.2	65.915	544.159	125.726
1	12.913	1906.4	313.6	365	65.915	544.159	125.726
1	13.235	1869.4	296.8	391.2	65.915	544.159	125.726
1	13.558	1636.8	307.8	431.2	65.915	544.159	125.726
1	13.881	1455	329.8	422	65.915	544.159	125.726
1	14.204	1455	329.8	422	65.915	544.159	125.726
1	14.527	1127.8	311.2	431.4	65.915	544.159	125.726
1	14.849	948.8	345	444	65.915	544.159	125.726
1	15.172	948.8	345	444	65.915	544.159	125.726
1	15.495	902.4	406.4	461.4	65.915	544.159	125.726
1	15.818	724.8	408.2	441.2	65.915	544.159	125.726
1	16.141	525.8	454.8	448	65.915	544.159	125.726
1	16.464	423.6	391.8	482.4	65.915	544.159	125.726
1	16.786	219.4	389	469.2	65.915	544.159	125.726
1	17.109	169.6	390.4	449.8	65.915	544.159	125.726
1	17.432	165.2	351.4	430	65.915	544.159	125.726
1	17.755	191.8	400.2	465	65.915	544.159	125.726
1	18.078	182.4	435.2	470.8	65.915	544.159	125.726
1	18.4	159.6	419.6	459.4	65.915	544.159	125.726
1	18.723	134.8	467	485.2	65.915	544.159	125.726
1	19.046	100.2	452.2	624.2	65.915	544.159	125.726
1	19.369	90.6	487.6	628.6	65.915	544.159	125.726
1	19.692	86.2	646	485.6	65.915	544.159	125.726
1	20.014	81	637.8	438.4	65.915	544.159	125.726
1	20.337	85.4	519.4	428.8	65.915	544.159	125.726
1	20.66	85.4	378.2	404.6	65.915	544.159	125.726
1	20.983	77.8	358	400.8	65.915	544.159	125.726
1	21.306	71.6	383.8	455.2	65.915	544.159	125.726
1	21.629	71.8	468.6	546	65.915	544.159	125.726
1	21.951	70.6	587.6	582.2	65.915	544.159	125.726
1	22.274	71.4	592.8	518	65.915	544.159	125.726
1	22.597	69.2	652.4	566.8	65.915	544.159	125.726
1	22.92	71.8	611.6	521.2	65.915	544.159	125.726
1	23.243	72.4	538.8	576	65.915	544.159	125.726
1	23.565	72.4	538.8	576	65.915	544.159	125.726
1	23.888	75.8	534.2	615.2	65.915	544.159	125.726
1	24.211	80.6	599.6	535.2	65.915	544.159	125.726
1	24.534	89.2	609.2	477.4	65.915	544.159	125.726
1	24.857	97.2	582	456	65.915	544.159	125.726
1	25.179	135.6	503.6	414.8	65.915	544.159	125.726
1	25.502	182	422.2	395.6	65.915	544.159	125.726
1	25.825	345.4	408	390.8	65.915	544.159	125.726
1	26.148	509.8	448.4	408.8	65.915	544.159	125.726
1	26.471	760.8	402.8	369.4	65.915	544.159	125.726
1	26.794	1412	344.6	359	65.915	544.159	125.726
1	27.116	1719	351.2	317.2	65.915	544.159	125.726
1	27.439	2258.2	303	352.8	65.915	544.159	125.726
1	27.762	2365.4	303.2	385.4	65.915	544.159	125.726
1	28.085	2447.2	290.2	392.4	65.915	544.159	125.726
1	28.408	2402.2	322.6	415.6	65.915	544.159	125.726
1	28.73	2361.8	349	476.6	65.915	544.159	125.726
1	29.053	2206.2	353	464.8	65.915	544.159	125.726
1	29.376	1909.4	350	531.4	65.915	544.159	125.726
1	29.699	1734.8	347.8	575.8	65.915	544.159	125.726
1	30.022	1428.4	362.2	545.4	65.915	544.159	125.726
1	30.345	1159.8	370	662.6	65.915	544.159	125.726
1	30.667	1038.6	315	601.4	65.915	544.159	125.726
1	30.99	797.2	398.6	693.2	65.915	544.159	125.726
1	31.313	546.8	421.8	750	65.915	544.159	125.726
1	31.636	388.2	522.4	854	65.915	544.159	125.726
1	31.959	260.6	674.8	898.2	65.915	544.159	125.726
1	32.281	202	780.4	790.2	65.915	544.159	125.726
1	32.604	161.2	650.8	660.8	65.915	544.159	125.726
1	32.927	161.2	650.8	660.8	65.915	544.159	125.726
1	33.25	136.8	476.8	706.2	65.915	544.159	125.726
1	33.573	122.2	465.2	724	65.915	544.159	125.726
1	33.895	104.2	529.2	635.6	65.915	544.159	125.726
1	34.218	98.8	524.2	640	65.915	544.159	125.726
1	34.541	92	440	664.8	65.915	544.159	125.726
1	34.864	88.2	464.8	718.2	65.915	544.159	125.726
1	35.187	85.8	453.4	734.8	65.915	544.159	125.726
1	35.51	82	578	694.6	65.915	544.159	125.726
1	35.832	79.4	601.2	676.4	65.915	544.159	125.726
1	36.155	74	468.4	547	65.915	544.159	125.726
1	36.478	74.8	429.2	631.6	65.915	544.159	125.726
1	36.801	72.6	421.8	736.2	65.915	544.159	125.726
1	37.124	70.6	523	947	65.915	544.159	125.726
1	37.446	68.6	595.4	1055	65.915	544.159	125.726
1	37.769	71	801.4	986	65.915	544.159	125.726
1	38.092	69.2	752.4	881.4	65.915	544.159	125.726
1	38.415	69.4	831.4	821.4	65.915	544.159	125.726
1	38.738	72.2	644.4	737	65.915	544.159	125.726
1	39.061	67	630	780	65.915	544.159	125.726
1	39.383	69	651	798.6	65.915	544.159	125.726
1	39.706	67	649	751.4	65.915	544.159	125.726
1	40.029	67.4	614.2	674.6	65.915	544.159	125.726
1	40.352	67.8	638.2	688.8	65.915	544.159	125.726
1	40.675	67.8	578	639.8	65.915	544.159	125.726
1	40.997	67	621.8	629.6	65.915	544.159	125.726
1	41.32	66.8	651.4	549.4	65.915	544.159	125.726
1	41.643	66	612.6	529	65.915	544.159	125.726
1	41.966	69.2	621.2	514.4	65.915	544.159	125.726
1	42.289	71.8	585.4	509.8	65.915	544.159	125.726
1	42.611	68.4	573.4	616.2	65.915	544.159	125.726
1	42.934	68.4	515.4	636.8	65.915	544.159	125.726
1	43.257	66.4	663.6	726.4	65.915	544.159	125.726
1	43.58	68.2	777.2	752.8	65.915	544.159	125.726
1	43.903	68.6	802.6	722.2	65.915	544.159	125.726
1	44.226	67.6	860	789.6	65.915	544.159	125.726
1	44.548	70	814.6	710	65.915	544.159	125.726
1	44.871	70.2	748	684.8	65.915	544.159	125.726
1	45.194	70.8	739.2	654	65.915	544.159	125.726
1	45.517	71.8	684.6	574	65.915	544.159	125.726
1	45.84	72.8	645.6	553.8	65.915	544.159	125.726
1	46.162	70.2	603.6	547	65.915	544.159	125.726
1	46.485	66.6	609	578.4	65.915	544.159	125.726
1	46.808	69.4	642.8	591.4	65.915	544.159	125.726
1	47.131	73	691.6	534.6	65.915	544.159	125.726
1	47.454	68.4	671	462.4	65.915	544.159	125.726
1	47.776	70.6	605.6	470.6	65.915	544.159	125.726
1	48.099	71.2	579	505.6	65.915	544.159	125.726
1	48.422	71.2	629.4	490	65.915	544.159	125.726
1	48.745	71	639	517.2	65.915	544.159	125.726
1	49.068	73.8	614.4	610.6	65.915	544.159	125.726
1	49.391	70.4	655.6	680.2	65.915	544.159	125.726
1	49.713	71.2	730.4	709.2	65.915	544.159	125.726
1	50.036	75	763.6	725	65.915	544.159	125.726
1	50.359	73.8	708.6	766.6	65.915	544.159	125.726
1	50.682	78	747.8	845.8	65.915	544.159	125.726
1	51.005	81.2	806.8	794.6	65.915	544.159	125.726
1	51.327	81.4	800.8	717.8	65.915	544.159	125.726
1	51.65	90.4	734.8	681.6	65.915	544.159	125.726
1	51.973	96.6	715.4	619.4	65.915	544.159	125.726
1	52.296	100	677.6	534.2	65.915	544.159	125.726
1	52.619	105.4	575.4	443.8	65.915	544.159	125.726
1	52.942	111.8	453.8	437.6	65.915	544.159	125.726
1	53.264	124.6	453.2	465.6	65.915	544.159	125.726
1	53.587	130	453.2	616.8	65.915	544.159	125.726
1	53.91	144.8	540.4	799.8	65.915	544.159	125.726
1	54.233	149.6	709.6	863.4	65.915	544.159	125.726
1	54.556	133.4	776.2	665	65.915	544.159	125.726
1	54.878	137	612.4	612.6	65.915	544.159	125.726
1	55.201	140.2	529	622.6	65.915	544.159	125.726
1	55.524	123.2	629.8	688.6	65.915	544.159	125.726
1	55.847	128.6	627	633.2	65.915	544.159	125.726
1	56.17	120	667.2	654	65.915	544.159	125.726
1	56.492	119.4	688	608	65.915	544.159	125.726
1	56.815	119.6	833.6	675.6	65.915	544.159	125.726
1	57.138	124.8	874.4	655.6	65.915	544.159	125.726
1	57.461	124	890.2	628.6	65.915	544.159	125.726
1	57.784	124	772.8	606	65.915	544.159	125.726
1	58.107	124	772.8	606	65.915	544.159	125.726
1	58.429	120.8	721.4	650.4	65.915	544.159	125.726
1	58.752	114.4	628.2	602.8	65.915	544.159	125.726
1	59.075	114.4	628.2	602.8	65.915	544.159	125.726
1	59.398	110.4	583	670.2	65.915	544.159	125.726
1	59.721	102.8	691.4	840.8	65.915	544.159	125.726
1	60.043	102.8	691.4	840.8	65.915	544.159	125.726
1	60.366	99.6	876.8	921.2	65.915	544.159	125.726
1	60.689	100.2	883.8	744.8	65.915	544.159	125.726
1	61.012	89.4	741.8	611.6	65.915	544.159	125.726
1	61.335	86.4	511.4	561.6	65.915	544.159	125.726
1	61.657	88.8	525	633	65.915	544.159	125.726
1	61.98	83.6	541.2	661.4	65.915	544.159	125.726
1	62.303	78	610	900	65.915	544.159	125.726
1	62.626	75.8	619.8	922.4	65.915	544.159	125.726
1	62.949	79.4	774.8	923.2	65.915	544.159	125.726
1	63.272	75.2	835.4	796.6	65.915	544.159	125.726
1	63.594	76	767.8	616.2	65.915	544.159	125.726
1	63.917	73.4	464.8	441.6	65.915	544.159	125.726
1	64.24	72.6	402.6	435.2	65.915	544.159	125.726
1	64.563	71.6	481.6	571.2	65.915	544.159	125.726
1	64.886	69	558	607	65.915	544.159	125.726
1	65.208	68.8	528	513.8	65.915	544.159	125.726
1	65.531	68.8	432.8	423.8	65.915	544.159	125.726
1	65.854	66	401.6	348	65.915	544.159	125.726
1	66.177	68.4	314	309.6	65.915	544.159	125.726
1	66.5	69	303.8	371.6	65.915	544.159	125.726
1	66.823	65.8	345.2	418.4	65.915	544.159	125.726
1	67.145	67	471.2	456	65.915	544.159	125.726
1	67.468	66.2	497	440.8	65.915	544.159	125.726
1	67.791	65.6	479.8	423.6	65.915	544.159	125.726
1	68.114	65	424.4	445	65.915	544.159	125.726
1	68.437	67.8	469.4	480.2	65.915	544.159	125.726
1	68.759	66.2	466.6	528.6	65.915	544.159	125.726
1	69.082	70	511	596.2	65.915	544.159	125.726
1	69.405	67.2	636.2	597.8	65.915	544.159	125.726
1	69.728	68	613	550.6	65.915	544.159	125.726
1	70.051	69.4	470.8	485.2	65.915	544.159	125.726
1	70.373	68	294.6	345	65.915	544.159	125.726
1	70.696	65.4	305.6	330.6	65.915	544.159	125.726
1	71.019	64.4	390.8	384.2	65.915	544.159	125.726
1	71.342	64.4	451.4	405.4	65.915	544.159	125.726
1	71.665	64.4	504.6	434.4	65.915	544.159	125.726
1	71.988	67.4	504	470.6	65.915	544.159	125.726
1	72.31	66	535	487	65.915	544.159	125.726
1	72.633	63	580.2	528	65.915	544.159	125.726
1	72.956	65.2	583.8	592	65.915	544.159	125.726
1	73.279	65.8	627.8	695	65.915	544.159	125.726
1	73.602	64.8	689.8	712	65.915	544.159	125.726
1	73.924	65	720.4	748	65.915	544.159	125.726
1	74.247	67.4	786.2	701.2	65.915	544.159	125.726
1	74.57	67.2	725.4	596.2	65.915	544.159	125.726
1	74.893	65	634.8	551.2	65.915	544.159	125.726
1	75.216	65.8	483.4	455.6	65.915	544.159	125.726
