Sample	Obs	W	Focus	Total
	1	1W	22.5	261
	2	2W	11.9	189
	3	3 W	24.5	212
OXPHOS1_1B	4	1W	23.3	230
	5	2W	21.3	280
	6	3W	16.4	245
OXPHOS1_2A	7	2W	13.2	245
	8	1W	35.1	257
OXPHOS1_2B	9	1W	29.5	209
-4	10	2W	25.8	234
	11	3W	44.3	335
	12	4W	53.2	298
OXPHOS2_1A	13	1W	39.6	234
3	14	2W	99.8	326
	15	3W	20.6	187
OXPHOS2_1B	16	1W	21.8	295
3	17	2W	68.1	172
	18	3W	17.9	185
OXPHOS2_2A	19	1W	24.1	241
2	20	2W	14.4	231
OXPHOS2_2BC	21	1W	19.8	328
OXPHOS3_1A	22	1W	56.8	294
OXPHOS3_1B	23	1W	11.5	190
4	24	2W	45.4	299
	25	3W	55.3	281
	26	4W	24.1	271
OXPHOS3_2A	27	1W	50.6	195
OXPHOS3_2B	28	1W	34.2	274
5	29	2W	14.7	270
	30	3W	17.7	247
	31	4W	80.6	326
	32	5W	23.1	247
OXPHOS4_1BC	33	1W	45.6	273
or 2BC?	34	2W	73.7	238
OXPHOS4_2A	35	1W	21.3	281
2	37	2W	41.7	292
OXPHOS5_1A	38	1W	54.5	276
5	39	2W	49.7	234
	40	3W	14.9	176
	41	4W	33.5	299
	42	5W	41.6	272
OXPHOS5_1B	43	1W	70	179
OXPHOS5_1C	44	1W	30.4	252
OXPHOS5_2BC	45	1W	72.4	182
3	46	2W	35.7	339
	47	3W	35.9	256
OXPHOS6_1A	48	1W	45.7	197
OXPHOS6_1B	49	1W	16.2	236
2 or 3?	50	2W	42	174
	51	3W	33.4	227
OXPHOS6_2A	52	1W	28.1	261
	53	2W	22.6	248
OXPHOS6_2BC	54	1W	20.3	236
5	55	2W	48.6	166
	56	3W	26.3	191
	57	4W	34	225
	58	5W	40.4	244
OXPHOS7_2A	60	1W	96.1	224
	63	3W	93.1	210
OXPHOS8_1C	67	1W	47.8	305
OXPHOS8_2A	68	1W	70.9	225
OXPHOS8_2B	69	1W	101	306
OXPHOS8_2C	70	1W	42.9	307
Section 5_1	1		38.2	329
Section 5_2	2		62.2	244
Section 6_1	3		10.9	303
S2B_1	1		93.4	225
S2B_2	2		69.1	211
S2C	3		108	263
S2C_3	4		65.8	199
S3B_1	5		110	282
S3B_2	6		90.3	226
S4B_1	7		81	183
S4B_2	8		74.5	196
S4C_2	9		63.5	260
S4C_3	10		106	273
S5A	11		79.4	223
S5B	12		108	274
S6A	13		59.9	241
S6A_3	14		31	212
S6A_4	x		75.7	235
S6B_1	15		66.8	311
S6B_2	16		71.1	335
S6B_3	17		97.5	260
S6C - focus 1	18		42	191
S6C - focus 2	19		80.8	237
S7A	20		16.6	208
S7B_1	21		60.4	270
S7B_2	22		62.4	263
S7B_3	23		66.9	265
S7B_4	24		16.2	202
S7C_1	25		101	256
S7C_2	26		80.9	259
S8A	x		115	231
S8B_1	27		57.9	290
S8B_2	28		53	223
S8C	29		44	180
