CellLabel	Distance[µm]	DAPI	MTCOI	SDHA
Pos1	0	62.143	841.143	834.714
Pos1	0.323	63.714	756.429	803.429
Pos1	0.645	63	746.857	729.571
Pos1	0.968	61.143	755.143	687.286
Pos1	1.29	61.286	674.429	703.143
Pos1	1.613	61.429	511.429	590.857
Pos1	1.935	62.571	501.571	520.571
Pos1	2.258	62.143	458.429	468.857
Pos1	2.58	60.429	460.429	476.714
Pos1	2.903	60.286	515.429	479.286
Pos1	3.225	64.571	520.286	483.571
Pos1	3.548	63	543.429	518
Pos1	3.87	60.143	527.143	519.714
Pos1	4.193	60.143	558.286	545.857
Pos1	4.515	62.429	639.571	580.286
Pos1	4.838	63	629.429	617.429
Pos1	5.16	62.857	577.857	629.143
Pos1	5.483	60	598.714	560.429
Pos1	5.805	60.143	593.143	566.571
Pos1	6.128	59.714	533.143	498.857
Pos1	6.45	59.714	533.143	498.857
Pos1	6.773	61.714	505.571	473.571
Pos1	7.095	60.857	486.429	437
Pos1	7.418	61.857	518.286	394.571
Pos1	7.74	63.286	513.571	405.429
Pos1	8.063	61.571	492	420.429
Pos1	8.385	61.286	472.857	390.571
Pos1	8.708	60.857	452.429	367.571
Pos1	9.03	59.714	449.429	357.286
Pos1	9.353	59.714	449.429	357.286
Pos1	9.675	59.714	485.571	332.143
Pos1	9.998	61.857	517.286	348.857
Pos1	10.32	61.571	517	334.857
Pos1	10.643	61.857	495.857	360.714
Pos1	10.965	61.143	418.286	335.571
Pos1	11.288	60.143	406.857	343.143
Pos1	11.61	59.571	401.714	313.571
Pos1	11.933	61.857	390.429	333.714
Pos1	12.255	61.286	379.429	343.143
Pos1	12.578	61.714	417.857	363.857
Pos1	12.9	61	476.429	401
Pos1	13.223	59.429	515.286	490.857
Pos1	13.545	61.571	483.143	478
Pos1	13.868	59.714	447.571	483.286
Pos1	14.19	62.571	447.714	456.857
Pos1	14.513	62.571	447.714	456.857
Pos1	14.835	59.429	467.714	460.429
Pos1	15.158	63	492.143	459.714
Pos1	15.48	61.429	536	488.571
Pos1	15.803	62.714	523.429	488
Pos1	16.125	61.143	517.571	447.429
Pos1	16.448	62.571	438.714	352
Pos1	16.77	62.429	426	355.857
Pos1	17.093	61.429	382.429	308
Pos1	17.415	65	372	310
Pos1	17.738	65	372	310
Pos1	18.06	62.857	382	325
Pos1	18.383	65.429	464.714	372.857
Pos1	18.705	65.429	500.714	415.143
Pos1	19.028	68.571	506.143	416.571
Pos1	19.35	71	489.143	457.857
Pos1	19.673	73.857	483.429	459.286
Pos1	19.995	87.143	524.286	503.571
Pos1	20.318	89.286	547.857	590.857
Pos1	20.64	105.429	593	647.286
Pos1	20.963	111.143	607.857	712.143
Pos1	21.285	162	610	736
Pos1	21.608	332.714	592.857	803
Pos1	21.93	332.714	592.857	803
Pos1	22.253	586.714	510.857	767.143
Pos1	22.575	803.429	458.571	701.714
Pos1	22.898	807.857	432	673
Pos1	23.22	931.571	398.143	651.429
Pos1	23.543	1117.571	404.857	666.143
Pos1	23.865	1404.714	409.571	697.143
Pos1	24.188	1688.286	451.571	706.857
Pos1	24.51	1671.143	459.571	641
Pos1	24.833	1806.143	435.857	600.143
Pos1	25.155	1723.429	353.571	510.571
Pos1	25.478	1590	318.143	490.714
Pos1	25.8	1396.714	316.857	514.286
Pos1	26.123	1195.571	317.429	508.429
Pos1	26.445	1043	307.429	473.714
Pos1	26.768	1012.857	307.429	498.714
Pos1	27.09	1056.286	356	531.857
Pos1	27.413	1263.571	368.429	492.286
Pos1	27.735	1565.143	308.286	397.571
Pos1	28.058	1647.714	245.286	303
Pos1	28.38	1615.571	196	289.286
Pos1	28.703	1539.429	207.143	298.857
Pos1	29.025	1512.286	240.857	348.286
Pos1	29.348	1530.714	333.429	416.286
Pos1	29.67	1732.143	387	456.857
Pos1	29.993	1806.429	412.714	428.286
Pos1	30.315	1922.857	373.857	381.286
Pos1	30.638	1855.857	312.714	371.571
Pos1	30.96	1797.714	328.286	407.286
Pos1	31.283	1647.143	370.857	495
Pos1	31.605	1404.857	417	558.571
Pos1	31.928	1002.857	513.857	630.571
Pos1	32.25	849.571	557	578.714
Pos1	32.572	573.429	473.286	533.286
Pos1	32.895	197.143	443.143	598.571
Pos1	33.218	115.286	533.143	739.143
Pos1	33.54	86.143	699.429	849.714
Pos1	33.863	77.714	795.429	797.286
Pos1	34.185	69.857	631.571	625.857
Pos1	34.508	69.714	614.857	612.571
Pos1	34.83	67.143	574.143	639.429
Pos1	35.153	64.714	575.714	680.143
Pos1	35.475	65.429	674.143	636.714
Pos1	35.798	65.429	674.143	636.714
Pos1	36.12	65.143	625.286	502.714
Pos1	36.443	64.429	543.429	538.857
Pos1	36.765	65	560.714	604.286
Pos1	37.088	62.857	607.429	671.714
Pos1	37.41	62	726.714	788.286
Pos1	37.733	64.143	801.571	814.714
Pos1	38.055	64.714	728.714	735.429
Pos1	38.378	63.286	703.571	702.714
Pos1	38.7	60.714	665.857	640.286
Pos1	39.023	60	543	506.286
Pos1	39.345	60	545.429	477.429
Pos1	39.668	61.429	547.714	459.857
Pos1	39.99	59.143	465.429	411
Pos1	40.313	61.286	440.857	421.714
Pos1	40.635	61.571	428.857	420.571
Pos1	40.958	60.571	446.714	393.429
Pos1	41.28	60.286	374.857	400
Pos1	41.603	60.286	374.857	400
Pos1	41.925	58.286	343.714	403.143
Pos1	42.248	60	395.429	463.714
Pos1	42.57	60.429	487.143	527.714
Pos1	42.893	59.571	533.714	430.143
Pos1	43.215	56.571	460.571	398
Pos1	43.538	58.429	404	406.714
Pos1	43.86	60.571	397.429	394.143
Pos1	44.183	58.286	451	477.429
Pos1	44.505	58.714	538.429	565.286
Pos1	44.828	60.286	563.571	532.714
Pos1	45.15	58.714	559	580.429
